"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"Lubbock","TX","Lubbock",226,1191,0.0196917808219178,0.042907180385289,0.0456540825285338,75369
2014-11-30,"Saint Lucie","FL","Port St. Lucie",227,1269,0.00714285714285714,0.0176423416198877,0.0583819849874896,99660
2014-11-30,"Leon","FL","Tallahassee",228,1215,0.0116569525395504,0.0167364016736402,-0.00164338537387017,73154
2014-11-30,"Greene","MO","Springfield",229,805,-0.00494437577255871,-0.00371287128712871,0.0176991150442478,85673
2014-11-30,"Hamilton","IN","Indianapolis",230,1728,0.00993571011104617,0.0182675309369476,0.0341113105924596,91008
2014-11-30,"Atlantic","NJ","Atlantic City",231,1474,-0.002031144211239,-0.0296247531270573,-0.019294743845642,103507
2014-11-30,"New London","CT","New London",232,1466,0.00894700619408121,0.0316678395496129,0.020891364902507,79933
2014-11-30,"Saint Clair","IL","St. Louis",233,939,0.00213447171824973,0.0491620111731843,0.0318681318681319,77835
2014-11-30,"San Luis Obispo","CA","San Luis Obispo",234,2057,0.0153010858835143,0.0457549567869852,0.122204037097654,77315
2014-11-30,"Horry","SC","Myrtle Beach",235,1096,0.0223880597014925,0.0448045757864633,0.111561866125761,130996
2014-11-30,"Madison","IL","St. Louis",236,943,0.00319148936170213,0.04661487236404,0.0339912280701754,90300
2014-11-30,"Osceola","FL","Orlando",237,1261,0.00158856235107228,-0.00473559589581689,0.0327600327600328,96555
