"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"Bloomington, IL","IL",234,1207,0.0185654008438819,0.085431654676259,-0.0585023400936037,48123
2014-11-30,"Panama City, FL","FL",235,1199,0.00841042893187553,0.00671704450041982,0.0380952380952381,70818
2014-11-30,"Waterloo, IA","IA",236,922,-0.012847965738758,-0.0649087221095335,-0.11003861003861,55532
2014-11-30,"Oshkosh, WI","WI",237,905,0.0402298850574713,0.125621890547264,-0.103072348860258,30635
2014-11-30,"Yuba City, CA","CA",238,1316,0.00228484386900229,0.0154320987654321,0.0638641875505255,38551
2014-11-30,"Abilene, TX","TX",239,1030,0.0127826941986234,0.033099297893681,0.0456852791878173,45292
2014-11-30,"Blacksburg, VA","VA",240,1159,0.0017286084701815,-0.0161290322580645,-0.00172265288544358,37002
2014-11-30,"Thomasville, NC","NC",241,886,-0.0177383592017738,0.00226244343891403,0.0302325581395349,73285
2014-11-30,"Dover, DE","DE",242,1193,0.00420875420875421,0.00930626057529611,0.0320069204152249,39985
2014-11-30,"Pascagoula, MS","MS",243,1037,-0.0076555023923445,0.00290135396518375,-0.0398148148148148,43717
2014-11-30,"Eau Claire, WI","WI",244,1054,-0.0186219739292365,-0.0158730158730159,0.00190114068441065,43529
2014-11-30,"Janesville, WI","WI",245,967,-0.0528893241919687,-0.090310442144873,-0.0349301397205589,61470
2014-11-30,"Jackson, MI","MI",246,915,0.0246360582306831,0.118581907090465,0.146616541353383,56270
2014-11-30,"Statesville, NC","NC",247,1049,0.0254154447702835,0.0365612648221344,0.035538005923001,81156
2014-11-30,"Pueblo, CO","CO",248,939,0.0217627856365615,0.0456570155902004,0.0239912758996728,52099
2014-11-30,"Billings, MT","MT",249,1254,-0.0039714058776807,0.00480769230769231,0.192015209125475,46228
