"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"Centennial Hills","NV","Las Vegas","Clark","Las Vegas",166,1240,0.00404858299595142,0.0105949470252649,0.0122448979591837,18345
2014-11-30,"Fairgrounds","CA","San Jose","Santa Clara","San Jose",167,2560,0.0086682427107959,0.0268752507019655,0.111111111111111,7060
2014-11-30,"Granada Hills","CA","Los Angeles","Los Angeles","Los Angeles",168,2569,0.00982704402515723,0.0259584664536741,0.0409238249594814,14107
2014-11-30,"Gresham","IL","Chicago","Cook","Chicago",169,1302,-0.0158730158730159,-0.0106382978723404,-0.0053475935828877,8404
2014-11-30,"Valencia","CA","Los Angeles","Los Angeles","Santa Clarita",170,2457,0.00531914893617021,0.00862068965517241,0.028894472361809,14881
2014-11-30,"Golfcrest - Bellfort - Reveille","TX","Houston","Harris","Houston",171,1236,0.0048780487804878,0.024026512013256,0.0766550522648084,9622
2014-11-30,"Michael Way","NV","Las Vegas","Clark","Las Vegas",172,1022,0.00392927308447937,0.0108803165182987,0.0354609929078014,11508
2014-11-30,"Woodside","NY","New York","Queens","New York",173,2288,0.00881834215167548,0.0119416187527643,0.102119460500963,1339
2014-11-30,"Mclane","CA","Fresno","Fresno","Fresno",174,1068,-0.00186915887850467,0.00945179584120983,0.0142450142450142,10949
2014-11-30,"Santa Teresa","CA","San Jose","Santa Clara","San Jose",175,2850,0.00742311770943796,0.0273972602739726,0.126037139470565,13881
2014-11-30,"Greater Uptown","TX","Houston","Harris","Houston",176,2234,0.0108597285067873,0.0356977283263792,0.145053818554587,16847
2014-11-30,"Highland Park","CA","Los Angeles","Los Angeles","Los Angeles",177,2262,0.00712377560106857,0.018001800180018,0.0781696854146807,6107
2014-11-30,"Bayside","NY","New York","Queens","New York",178,2239,-0.000892458723784025,0.000894054537326777,0.0666984278227727,8297
2014-11-30,"Brighton Park","IL","Chicago","Cook","Chicago",179,1380,-0.00862068965517241,-0.00289017341040462,0.025260029717682,3115
2014-11-30,"Southwest","TX","Dallas-Fort Worth","Tarrant","Arlington",180,1535,0.00589777195281782,0.0253841015364061,0.0499316005471956,15349
2014-11-30,"Coney Island","NY","New York","Kings","New York",181,2111,-0.031206975676916,-0.0737165423431329,-0.0609430604982206,2238
2014-11-30,"Woodlake - Briarmeadow","TX","Houston","Harris","Houston",182,1489,0.0177717019822283,0.0412587412587413,0.0782041998551774,7343
2014-11-30,"Southwest Anaheim","CA","Los Angeles","Orange","Anaheim",183,2335,-0.00426439232409382,-0.00595998297147722,0.028181417877587,8079
2014-11-30,"Central","TX","El Paso","El Paso","El Paso",184,910,-0.0130151843817787,-0.00546448087431694,0.0282485875706215,7906
2014-11-30,"University City","CA","San Diego","San Diego","San Diego",185,2373,0.00338266384778013,0.0123720136518771,0.0380577427821522,11868
2014-11-30,"Oak Lawn","TX","Dallas-Fort Worth","Dallas","Dallas",186,1684,-0.0023696682464455,0.00959232613908873,0.0658227848101266,12316
2014-11-30,"Summerlin North","NV","Las Vegas","Clark","Las Vegas",187,1429,0.00280701754385965,0.00421644413211525,-0.00279134682484299,20249
2014-11-30,"Hamilton Heights","NY","New York","New York","New York",188,2760,-0.00144717800289436,0.0426898375519456,0.104,675
2014-11-30,"Rancho Penasquitos","CA","San Diego","San Diego","San Diego",189,2654,-0.000376647834274953,0.00950931913275009,0.0498417721518987,14261
2014-11-30,"Winnetka","CA","Los Angeles","Los Angeles","Los Angeles",190,2414,0.00751252086811352,0.0177065767284992,0.0532286212914485,11022
2014-11-30,"Sunnyside","NY","New York","Queens","New York",191,2403,0.0037593984962406,-0.00373134328358209,0.0775784753363229,1133
2014-11-30,"Chelsea","NY","New York","New York","New York",192,5298,-0.0093492894540015,0.0343615775087856,0.186562150055991,4076
2014-11-30,"Mid City West","CA","Los Angeles","Los Angeles","Los Angeles",193,4434,0.0181400688863375,0.0627996164908917,0.182715390770872,5540
2014-11-30,"Brighton","MA","Boston","Suffolk","Boston",194,2161,-0.0141423357664234,0.00278422273781903,0.079960019990005,7119
2014-11-30,"Greenville","NJ","New York","Hudson","Jersey City",195,2035,-0.0014720314033366,0.0403885480572597,0.119361936193619,7423
2014-11-30,"Alameda - West Flagler","FL","Miami-Fort Lauderdale","Miami-Dade","Miami",196,1817,0.00832408435072142,0.0207865168539326,0.0448533640023002,7528
2014-11-30,"Memorial","TX","Houston","Harris","Houston",197,3063,0,0.00558108995403808,0.112200435729847,14728
